Classification,Common Name,Scientific Name,Population Trend,Assessment,Conservation Status,IUCN Link,Kingdom,Class
plantae — liliopsida,Slender Spike-rush,Eleocharis uniglumis,Unknown,Global,Least Concern,https://www.iucnredlist.org/species/164239/13548404,plantae,liliopsida
animalia — insecta,,Ellychnia alexanderi,Unknown,Global,Data Deficient,https://www.iucnredlist.org/species/164015219/166771323,animalia,insecta
plantae — liliopsida,,Elodea bifoliata,Unknown,Global,Least Concern,https://www.iucnredlist.org/species/64311327/67729381,plantae,liliopsida
plantae — liliopsida,,Elodea canadensis,Unknown,Global,Least Concern,https://www.iucnredlist.org/species/13506646/13506651,plantae,liliopsida
animalia — insecta,River Bluet,Enallagma anna,Stable,Global,Least Concern,https://www.iucnredlist.org/species/51342071/65836699,animalia,insecta
animalia — insecta,Northern Bluet,Enallagma annexum,Stable,Global,Least Concern,https://www.iucnredlist.org/species/51342193/65836704,animalia,insecta
animalia — insecta,Boreal Bluet,Enallagma boreale,Stable,Global,Least Concern,https://www.iucnredlist.org/species/51355269/65836724,animalia,insecta
animalia — insecta,Tule Bluet,Enallagma carunculatum,Stable,Global,Least Concern,https://www.iucnredlist.org/species/165079/65831144,animalia,insecta
animalia — insecta,Familiar Bluet,Enallagma civile,Stable,Global,Least Concern,https://www.iucnredlist.org/species/49254379/65836139,animalia,insecta
animalia — insecta,Alkali Bluet,Enallagma clausum,Stable,Global,Least Concern,https://www.iucnredlist.org/species/51355757/65836729,animalia,insecta
animalia — insecta,Marsh Bluet,Enallagma ebrium,Stable,Global,Least Concern,https://www.iucnredlist.org/species/165063/65829334,animalia,insecta
animalia — insecta,Arroyo Bluet,Enallagma praevarum,Stable,Global,Least Concern,https://www.iucnredlist.org/species/51357444/80690054,animalia,insecta
plantae — gnetopsida,,Ephedra aspera,Stable,Global,Least Concern,https://www.iucnredlist.org/species/201685/9164657,plantae,gnetopsida
plantae — gnetopsida,,Ephedra cutleri,Stable,Global,Least Concern,https://www.iucnredlist.org/species/201675/9162063,plantae,gnetopsida
plantae — gnetopsida,,Ephedra fasciculata,Stable,Global,Least Concern,https://www.iucnredlist.org/species/201694/9166943,plantae,gnetopsida
plantae — gnetopsida,,Ephedra torreyana,Stable,Global,Least Concern,https://www.iucnredlist.org/species/201677/9162483,plantae,gnetopsida
plantae — gnetopsida,,Ephedra viridis,Stable,Global,Least Concern,https://www.iucnredlist.org/species/201705/9169780,plantae,gnetopsida
plantae — magnoliopsida,,Epilobium ciliatum,Unknown,Global,Least Concern,https://www.iucnredlist.org/species/64311338/121902124,plantae,magnoliopsida
plantae — magnoliopsida,,Epilobium leptophyllum,Unknown,Global,Least Concern,https://www.iucnredlist.org/species/64311347/67729411,plantae,magnoliopsida
plantae — magnoliopsida,Marsh Willowherb,Epilobium palustre,Unknown,Global,Least Concern,https://www.iucnredlist.org/species/168737/1219085,plantae,magnoliopsida
plantae — liliopsida,,Epipactis gigantea,Unknown,Global,Least Concern,https://www.iucnredlist.org/species/64311354/67729421,plantae,liliopsida
plantae — polypodiopsida,Field Horsetail,Equisetum arvense,Unknown,Global,Least Concern,https://www.iucnredlist.org/species/167857/161580271,plantae,polypodiopsida
plantae — polypodiopsida,Rough Horsetail,Equisetum hyemale,Increasing,Global,Least Concern,https://www.iucnredlist.org/species/203003/42381564,plantae,polypodiopsida
plantae — liliopsida,,Eragrostis hypnoides,Unknown,Global,Least Concern,https://www.iucnredlist.org/species/64311363/67729431,plantae,liliopsida
plantae — magnoliopsida,,Erigeron lonchophyllus,Unknown,Global,Least Concern,https://www.iucnredlist.org/species/64311370/67729441,plantae,magnoliopsida
plantae — liliopsida,Chamisso's Cottongrass,Eriophorum chamissonis,Unknown,Global,Least Concern,https://www.iucnredlist.org/species/64311483/67729456,plantae,liliopsida
animalia — insecta,White-belted Ringtail,Erpetogomphus compositus,Stable,Global,Least Concern,https://www.iucnredlist.org/species/51178670/80680347,animalia,insecta
animalia — insecta,Western Pondhawk,Erythemis collocata,Stable,Global,Least Concern,https://www.iucnredlist.org/species/51273218/65836509,animalia,insecta
animalia — insecta,Eastern Pondhawk,Erythemis simplicicollis,Increasing,Global,Least Concern,https://www.iucnredlist.org/species/165090/65832674,animalia,insecta
plantae — magnoliopsida,,Erythrostemon phyllanthoides,Decreasing,Global,Endangered,https://www.iucnredlist.org/species/19893082/20031740,plantae,magnoliopsida
plantae — magnoliopsida,Missouri Foxtail Cactus,Escobaria missouriensis,Stable,Global,Least Concern,https://www.iucnredlist.org/species/151844/121510797,plantae,magnoliopsida
